Title,Publication Date,Summary,URL,Source,Country,Language
Paul Adams: Starmer and Lammy sound genuinely angry at Israel,"Tue, 20 May 2025 20:03:27 GMT","The PM sounded genuinely angry at Israel's aid blockade and expanded Gaza offensive, writes diplomatic correspondent Paul Adams.",https://www.bbc.com/news/articles/ckgnn6ed32eo,Unknown,Unknown,en
M&S online services to face disruption until July,"Wed, 21 May 2025 06:18:30 GMT",The chain faces a £300m hit to profits due to the recent cyber attack.,https://www.bbc.com/news/articles/c93llkg4n51o,Unknown,Unknown,en
Leaked memo reveals Rayner called for tax rises,"Wed, 21 May 2025 06:01:29 GMT",Deputy Prime Minister Angela Rayner's department sent the note before the Spring Statement.,https://www.bbc.com/news/articles/cnv116qqqyjo,Unknown,Unknown,en
World-first gonorrhoea vaccine launched by NHS England as infections soar,"Wed, 21 May 2025 00:13:10 GMT",The treatment will be offered to those most at risk from August after a record number of cases.,https://www.bbc.com/news/articles/cded26z16leo,Unknown,Unknown,en
Cheers star George Wendt dies at 76,"Tue, 20 May 2025 23:11:54 GMT",He was best known for playing Norm Peterson in the popular comedy series Cheers from 1982 to 1993.,https://www.bbc.com/news/articles/cx2xx998102o,Unknown,Unknown,en
Student suicide review says unis must act to stop more deaths,"Wed, 21 May 2025 00:52:35 GMT",The government wants universities to check the safety of halls and reach out to families after a death.,https://www.bbc.com/news/articles/cq855x0gk3xo,Unknown,Unknown,en
Thames Water halts bonus scheme as No 10 says rewarding failure 'not acceptable',"Wed, 21 May 2025 05:40:15 GMT","The company pauses its ""retention scheme"", which pays out cash to top executives linked to its rescue loan.",https://www.bbc.com/news/articles/c4g3300yyyno,Unknown,Unknown,en
Police investigation into UK retail hacks focuses on English-speaking youths,"Tue, 20 May 2025 23:49:56 GMT",The National Crime Agency tells the BBC how it is trying to find the culprits of the M&amp;S and Co-op hacks.,https://www.bbc.com/news/articles/ckgnndrgxv3o,Unknown,Unknown,en
Tropical forests destroyed at fastest recorded rate last year,"Wed, 21 May 2025 04:04:19 GMT","Tropical forests provide a buffer against climate change, but disappeared faster than ever recorded last year.",https://www.bbc.com/news/articles/c0lnngl6713o,Unknown,Unknown,en
Trump unveils plans for 'Golden Dome' defence system,"Tue, 20 May 2025 20:40:19 GMT","An initial sum of $25bn (£18.7bn) has been earmarked in a new budget bill, although the final cost is expected to be much higher.",https://www.bbc.com/news/articles/cwy33n484x0o,Unknown,Unknown,en
Gaza baby sent back to war zone after open-heart surgery in Jordan,"Tue, 20 May 2025 23:04:21 GMT","Baby Niveen was evacuated to Jordan for medical treatment, but has now been sent back to Gaza.",https://www.bbc.com/news/articles/crk22xm831ko,Unknown,Unknown,en
British surgeon's 'high anxiety' operating in Gaza,"Tue, 20 May 2025 17:12:10 GMT",Dr Rose has been describing life at Nassar Hospital in Gazan city of Khan Younis.,https://www.bbc.com/news/videos/c0577700gjdo,Unknown,Unknown,en
UK steps up action against Israel over Gaza offensive,"Tue, 20 May 2025 23:58:59 GMT",Foreign Secretary David Lammy summons the Israeli ambassador and suspends talks on a trade deal.,https://www.bbc.com/news/articles/cy4kkl555w8o,Unknown,Unknown,en
BBC Verify examines Israeli strikes as minimal aid enters Gaza,"Tue, 20 May 2025 17:25:29 GMT","Israel says its reopened access for a limited number of aid trucks into Gaza, after blocking supplies from entering the territory for the last 11 weeks. BBC Verify has been looking into the latest strikes and aid situation in Gaza.",https://www.bbc.com/news/videos/c0j77754399o,Unknown,Unknown,en
